TIENDA_ID,MES_ID,VENTA_TOTAL,DESVIACION_ESTANDAR_VENTA,PROMEDIO_VENTA,MES_ID_DATETIME,MES_ID_TIMESTAMP,index año anterior,INDEX_promedio,INDEX_desviacion estandar
1,202301,748595.53,188238.6394933376,708027.569047619,2023-01-01,1672531200,,1.4896512714313686,1.0170052129870906
1,202302,155325.03,188238.6394933376,708027.569047619,2023-02-01,1675209600,,1.4896512714313686,1.0170052129870906
1,202303,475459.96,188238.6394933376,708027.569047619,2023-03-01,1677628800,,1.4896512714313686,1.0170052129870906
1,202304,697411.28,188238.6394933376,708027.569047619,2023-04-01,1680307200,,1.4896512714313686,1.0170052129870906
1,202305,779274.5,188238.6394933376,708027.569047619,2023-05-01,1682899200,,1.4896512714313686,1.0170052129870906
1,202306,853168.73,188238.6394933376,708027.569047619,2023-06-01,1685577600,,1.4896512714313686,1.0170052129870906
1,202307,857231.49,188238.6394933376,708027.569047619,2023-07-01,1688169600,,1.4896512714313686,1.0170052129870906
1,202308,801099.34,188238.6394933376,708027.569047619,2023-08-01,1690848000,,1.4896512714313686,1.0170052129870906
1,202309,914195.93,188238.6394933376,708027.569047619,2023-09-01,1693526400,,1.4896512714313686,1.0170052129870906
1,202310,765040.92,188238.6394933376,708027.569047619,2023-10-01,1696118400,,1.4896512714313686,1.0170052129870906
1,202311,598655.41,188238.6394933376,708027.569047619,2023-11-01,1698796800,,1.4896512714313686,1.0170052129870906
1,202312,713569.96,188238.6394933376,708027.569047619,2023-12-01,1701388800,,1.4896512714313686,1.0170052129870906
1,202401,739971.54,188238.6394933376,708027.569047619,2024-01-01,1704067200,0.988479773583473,1.4896512714313686,1.0170052129870906
1,202402,615848.14,188238.6394933376,708027.569047619,2024-02-01,1706745600,3.964899540016184,1.4896512714313686,1.0170052129870906
1,202403,734269.69,188238.6394933376,708027.569047619,2024-03-01,1709251200,1.5443354893648666,1.4896512714313686,1.0170052129870906
1,202404,731363.24,188238.6394933376,708027.569047619,2024-04-01,1711929600,1.0486828374786252,1.4896512714313686,1.0170052129870906
1,202405,919614.5,188238.6394933376,708027.569047619,2024-05-01,1714521600,1.1800905842549705,1.4896512714313686,1.0170052129870906
1,202406,875389.21,188238.6394933376,708027.569047619,2024-06-01,1717200000,1.0260446488703354,1.4896512714313686,1.0170052129870906
1,202407,837783.48,188238.6394933376,708027.569047619,2024-07-01,1719792000,0.9773130009491369,1.4896512714313686,1.0170052129870906
1,202408,564098.3898991749,188238.6394933376,708027.569047619,2024-08-01,1722470400,,1.4896512714313686,1.0170052129870906
1,202409,568618.9229658062,188238.6394933376,708027.569047619,2024-09-01,1725148800,,1.4896512714313686,1.0170052129870906
1,202410,745381.9340623257,188238.6394933376,708027.569047619,2024-10-01,1727740800,,1.4896512714313686,1.0170052129870906
1,202411,710822.06,188238.6394933376,708027.569047619,2024-11-01,1730419200,1.187364296933356,1.4896512714313686,1.0170052129870906
