TIENDA_ID,VENTA_PRED,FECHA,LATITUD_NUM,LONGITUD_NUM,mape_test,mae_test
1,819635.0,2025-01-31 00:00:00,26.00177,-98.24284,2.0455956725633166,15983.26199524315
1,767578.0,2025-02-28 00:00:00,26.00177,-98.24284,2.0455956725633166,15983.26199524315
1,393664.0,2025-03-31 00:00:00,26.00177,-98.24284,2.0455956725633166,15983.26199524315
2,1079266.0,2025-01-31 00:00:00,26.04198,-98.3562,3.1579046800030146,29753.03327731816
2,963523.0,2025-02-28 00:00:00,26.04198,-98.3562,3.1579046800030146,29753.03327731816
2,436448.0,2025-03-31 00:00:00,26.04198,-98.3562,3.1579046800030146,29753.03327731816
3,1015736.0,2025-01-31 00:00:00,26.02464,-98.26098,3.017306262333233,30134.320250110464
3,931824.0,2025-02-28 00:00:00,26.02464,-98.26098,3.017306262333233,30134.320250110464
3,420579.0,2025-03-31 00:00:00,26.02464,-98.26098,3.017306262333233,30134.320250110464
4,1501912.0,2025-01-31 00:00:00,26.04326,-98.23851,2.473595726136,35264.31605166822
4,1400839.0,2025-02-28 00:00:00,26.04326,-98.23851,2.473595726136,35264.31605166822
4,685234.0,2025-03-31 00:00:00,26.04326,-98.23851,2.473595726136,35264.31605166822
5,1682112.0,2025-01-31 00:00:00,26.06397,-98.26165,1.300845170799997,22464.297950080585
5,1680402.0,2025-02-28 00:00:00,26.06397,-98.26165,1.300845170799997,22464.297950080585
5,878205.0,2025-03-31 00:00:00,26.06397,-98.26165,1.300845170799997,22464.297950080585
6,776012.0,2025-01-31 00:00:00,26.02745,-98.35609,4.146298403458525,32939.63665877896
6,674541.0,2025-02-28 00:00:00,26.02745,-98.35609,4.146298403458525,32939.63665877896
6,357204.0,2025-03-31 00:00:00,26.02745,-98.35609,4.146298403458525,32939.63665877896
7,992206.0,2025-01-31 00:00:00,26.08957,-98.33238,2.269673783629809,20888.138394611935
7,833968.0,2025-02-28 00:00:00,26.08957,-98.33238,2.269673783629809,20888.138394611935
7,452577.0,2025-03-31 00:00:00,26.08957,-98.33238,2.269673783629809,20888.138394611935
8,1113519.0,2025-01-31 00:00:00,26.04768,-98.2894,2.70880895601514,26138.15387402826
8,1053045.0,2025-02-28 00:00:00,26.04768,-98.2894,2.70880895601514,26138.15387402826
8,484774.0,2025-03-31 00:00:00,26.04768,-98.2894,2.70880895601514,26138.15387402826
9,1605140.0,2025-01-31 00:00:00,26.01405,-98.39384,1.3945217800755354,20054.164741180753
9,1494669.0,2025-02-28 00:00:00,26.01405,-98.39384,1.3945217800755354,20054.164741180753
9,812112.0,2025-03-31 00:00:00,26.01405,-98.39384,1.3945217800755354,20054.164741180753
11,852480.0,2025-01-31 00:00:00,26.00828,-98.40705,2.534159431195423,17959.21304094014
